,name,state,place,fips
142,Adak city,02,00065,0200065
151,Akhiok city,02,00650,0200650
18,Akiachak CDP,02,00760,0200760
16,Akiak city,02,00870,0200870
100,Akutan city,02,01090,0201090
108,Alakanuk city,02,01200,0201200
231,Alatna CDP,02,01305,0201305
317,Alcan Border CDP,02,01390,0201390
56,Aleknagik city,02,01420,0201420
155,Aleneva CDP,02,01560,0201560
228,Allakaket city,02,01860,0201860
201,Ambler city,02,01970,0201970
115,Anaktuvuk Pass city,02,02080,0202080
279,Anchor Point CDP,02,03110,0203110
251,Anchorage municipality,02,03000,0203000
310,Anderson city,02,03220,0203220
189,Angoon city,02,03440,0203440
15,Aniak city,02,03550,0203550
222,Anvik city,02,03880,0203880
232,Arctic Village CDP,02,03990,0203990
141,Atka city,02,04210,0204210
19,Atmautluak CDP,02,04430,0204430
120,Atqasuk city,02,04500,0204500
146,Attu Station CDP,02,04670,0204670
334,Badger CDP,02,05000,0205000
280,Bear Creek CDP,02,05585,0205585
233,Beaver CDP,02,05750,0205750
281,Beluga CDP,02,06245,0206245
0,Bethel city,02,06520,0206520
229,Bettles city,02,06630,0206630
318,Big Delta CDP,02,06850,0206850
69,Big Lake CDP,02,07070,0207070
234,Birch Creek CDP,02,07620,0207620
124,Brevig Mission city,02,08740,0208740
207,Buckland city,02,09600,0209600
70,Buffalo Soapstone CDP,02,09657,0209657
71,Butte CDP,02,09710,0209710
311,Cantwell CDP,02,10150,0210150
235,Central CDP,02,11690,0211690
236,Chalkyitsik CDP,02,11800,0211800
72,Chase CDP,02,12350,0212350
11,Chefornak city,02,12680,0212680
335,Chena Ridge CDP,02,12920,0212920
185,Chenega CDP,02,12970,0212970
103,Chevak city,02,13230,0213230
73,Chickaloon CDP,02,13340,0213340
319,Chicken CDP,02,13450,0213450
41,Chignik Lagoon CDP,02,13670,0213670
42,Chignik Lake CDP,02,13780,0213780
35,Chignik city,02,13550,0213550
156,Chiniak CDP,02,13860,0213860
162,Chisana CDP,02,13890,0213890
163,Chistochina CDP,02,14000,0214000
164,Chitina CDP,02,14110,0214110
1,Chuathbaluk city,02,14330,0214330
237,Circle CDP,02,14880,0214880
282,Clam Gulch CDP,02,15320,0215320
57,Clark's Point city,02,15430,0215430
253,Coffman Cove city,02,16360,0216360
283,Cohoe CDP,02,16420,0216420
98,Cold Bay city,02,16530,0216530
238,Coldfoot CDP,02,16630,0216630
336,College CDP,02,16750,0216750
284,Cooper Landing CDP,02,17190,0217190
165,Copper Center CDP,02,17300,0217300
182,Cordova city,02,17410,0217410
349,Covenant Life CDP,02,17670,0217670
259,Craig city,02,17740,0217740
20,Crooked Creek CDP,02,17850,0217850
285,Crown Point CDP,02,17960,0217960
209,Deering city,02,18510,0218510
315,Delta Junction city,02,18620,0218620
320,Deltana CDP,02,18675,0218675
312,Denali Park CDP,02,18805,0218805
286,Diamond Ridge CDP,02,18925,0218925
58,Dillingham city,02,18950,0218950
125,Diomede city,02,19060,0219060
321,Dot Lake CDP,02,19720,0219720
322,Dot Lake Village CDP,02,19750,0219750
323,Dry Creek CDP,02,20020,0220020
324,Eagle Village CDP,02,20600,0220600
316,Eagle city,02,20380,0220380
147,Eareckson Station CDP,02,20716,0220716
261,Edna Bay city,02,20970,0220970
8,Eek city,02,21040,0221040
37,Egegik city,02,21150,0221150
337,Eielson AFB CDP,02,21370,0221370
60,Ekwok city,02,21810,0221810
193,Elfin Cove CDP,02,22140,0222140
131,Elim city,02,22250,0222250
109,Emmonak city,02,22910,0222910
338,Ester CDP,02,23460,0223460
74,Eureka Roadhouse CDP,02,23720,0223720
239,Evansville CDP,02,23790,0223790
350,Excursion Inlet CDP,02,23900,0223900
333,Fairbanks city,02,24230,0224230
97,False Pass city,02,24660,0224660
75,Farm Loop CDP,02,25000,0225000
339,Farmers Loop CDP,02,24980,0224980
313,Ferry CDP,02,25220,0225220
76,Fishhook CDP,02,25550,0225550
240,Flat CDP,02,25880,0225880
325,Fort Greely CDP,02,26100,0226100
230,Fort Yukon city,02,26760,0226760
241,Four Mile Road CDP,02,26835,0226835
340,Fox CDP,02,26870,0226870
287,Fox River CDP,02,26910,0226910
288,Fritz Creek CDP,02,27090,0227090
289,Funny River CDP,02,27145,0227145
166,Gakona CDP,02,27420,0227420
213,Galena city,02,27530,0227530
137,Gambell city,02,27640,0227640
194,Game Creek CDP,02,27700,0227700
77,Gateway CDP,02,28200,0228200
78,Glacier View CDP,02,28590,0228590
167,Glennallen CDP,02,28740,0228740
341,Goldstream CDP,02,29130,0229130
126,Golovin city,02,29180,0229180
12,Goodnews Bay city,02,29290,0229290
214,Grayling city,02,30060,0230060
168,Gulkana CDP,02,30500,0230500
192,Gustavus city,02,30940,0230940
351,Haines CDP,02,31050,0231050
290,Halibut Cove CDP,02,31270,0231270
291,Happy Valley CDP,02,31710,0231710
342,Harding-Birch Lakes CDP,02,31765,0231765
314,Healy CDP,02,32150,0232150
326,Healy Lake CDP,02,32310,0232310
269,Hobart Bay CDP,02,32550,0232550
262,Hollis CDP,02,32810,0232810
223,Holy Cross city,02,33030,0233030
273,Homer city,02,33140,0233140
191,Hoonah city,02,33360,0233360
110,Hooper Bay city,02,33470,0233470
292,Hope CDP,02,33580,0233580
67,Houston city,02,33800,0233800
224,Hughes city,02,33910,0233910
215,Huslia city,02,34350,0234350
254,Hydaburg city,02,34460,0234460
263,Hyder CDP,02,34570,0234570
43,Igiugig CDP,02,34790,0234790
44,Iliamna CDP,02,35120,0235120
45,Ivanof Bay CDP,02,35890,0235890
272,Juneau city and borough,02,36400,0236400
274,Kachemak city,02,36540,0236540
258,Kake city,02,36770,0236770
118,Kaktovik city,02,36990,0236990
293,Kalifornsky CDP,02,37250,0237250
225,Kaltag city,02,37430,0237430
157,Karluk CDP,02,37540,0237540
255,Kasaan city,02,37650,0237650
21,Kasigluk CDP,02,37975,0237975
294,Kasilof CDP,02,38090,0238090
275,Kenai city,02,38420,0238420
169,Kenny Lake CDP,02,38910,0238910
197,Ketchikan city,02,38970,0238970
202,Kiana city,02,39300,0239300
96,King Cove city,02,39410,0239410
53,King Salmon CDP,02,39630,0239630
22,Kipnuk CDP,02,39740,0239740
203,Kivalina city,02,39960,0239960
256,Klawock city,02,40400,0240400
195,Klukwan CDP,02,40510,0240510
80,Knik River CDP,02,40670,0240670
79,Knik-Fairview CDP,02,40645,0240645
204,Kobuk city,02,40840,0240840
158,Kodiak Station CDP,02,41210,0241210
154,Kodiak city,02,40950,0240950
46,Kokhanok CDP,02,41280,0241280
63,Koliganek CDP,02,41500,0241500
23,Kongiganak CDP,02,41610,0241610
104,Kotlik city,02,41720,0241720
205,Kotzebue city,02,41830,0241830
132,Koyuk city,02,41940,0241940
216,Koyukuk city,02,42050,0242050
268,Kupreanof city,02,42160,0242160
2,Kwethluk city,02,42380,0242380
24,Kwigillingok CDP,02,42490,0242490
81,Lake Louise CDP,02,42805,0242805
242,Lake Minchumina CDP,02,42820,0242820
152,Larsen Bay city,02,43040,0243040
82,Lazy Mountain CDP,02,43260,0243260
47,Levelock CDP,02,43810,0243810
25,Lime Village CDP,02,44030,0244030
243,Livengood CDP,02,44580,0244580
199,Loring CDP,02,45020,0245020
295,Lowell Point CDP,02,45295,0245295
3,Lower Kalskag city,02,45460,0245460
352,Lutak CDP,02,45700,0245700
244,Manley Hot Springs CDP,02,46780,0246780
61,Manokotak city,02,46890,0246890
111,Marshall city,02,47000,0247000
170,McCarthy CDP,02,45790,0245790
217,McGrath city,02,46010,0246010
83,Meadow Lakes CDP,02,47735,0247735
4,Mekoryuk city,02,47990,0247990
171,Mendeltna CDP,02,48200,0248200
172,Mentasta Lake CDP,02,48540,0248540
26,Mertarvik CDP,02,48590,0248590
264,Metlakatla CDP,02,48870,0248870
159,Mill Bay CDP,02,49200,0249200
245,Minto CDP,02,49530,0249530
343,Moose Creek CDP,02,50080,0250080
296,Moose Pass CDP,02,50190,0250190
353,Mosquito Lake CDP,02,50800,0250800
105,Mountain Village city,02,51180,0251180
354,Mud Bay CDP,02,51455,0251455
173,Nabesna CDP,02,51960,0251960
54,Naknek CDP,02,52060,0252060
297,Nanwalek CDP,02,52210,0252210
13,Napakiak city,02,52390,0252390
17,Napaskiak city,02,52720,0252720
265,Naukati Bay CDP,02,52845,0252845
174,Nelchina CDP,02,52915,0252915
101,Nelson Lagoon CDP,02,52940,0252940
218,Nenana city,02,53050,0253050
62,New Stuyahok city,02,53710,0253710
38,Newhalen city,02,53270,0253270
27,Newtok CDP,02,53820,0253820
5,Nightmute city,02,53930,0253930
298,Nikiski CDP,02,54050,0254050
299,Nikolaevsk CDP,02,54085,0254085
226,Nikolai city,02,54150,0254150
148,Nikolski CDP,02,54260,0254260
300,Ninilchik CDP,02,54480,0254480
210,Noatak CDP,02,54700,0254700
127,Nome city,02,54920,0254920
36,Nondalton city,02,55030,0255030
200,Noorvik city,02,55140,0255140
84,North Lakes CDP,02,55745,0255745
332,North Pole city,02,55910,0255910
327,Northway CDP,02,56220,0256220
121,Nuiqsut city,02,56320,0256320
221,Nulato city,02,56350,0256350
106,Nunam Iqua city,02,56600,0256600
9,Nunapitchuk city,02,56680,0256680
149,Old Harbor city,02,57340,0257340
28,Oscarville CDP,02,58330,0258330
153,Ouzinkie city,02,58550,0258550
68,Palmer city,02,58660,0258660
175,Paxson CDP,02,59320,0259320
48,Pedro Bay CDP,02,59540,0259540
190,Pelican city,02,59650,0259650
49,Perryville CDP,02,60200,0260200
270,Petersburg CDP,02,60310,0260310
85,Petersville CDP,02,60460,0260460
39,Pilot Point city,02,60640,0260640
112,Pilot Station city,02,60750,0260750
114,Pitkas Point CDP,02,60860,0260860
6,Platinum city,02,61080,0261080
344,Pleasant Valley CDP,02,61120,0261120
266,Point Baker CDP,02,61190,0261190
119,Point Hope city,02,61630,0261630
122,Point Lay CDP,02,61700,0261700
86,Point MacKenzie CDP,02,61788,0261788
301,Point Possession CDP,02,61825,0261825
50,Pope-Vannoy Landing CDP,02,62125,0262125
252,Port Alexander city,02,62510,0262510
51,Port Alsworth CDP,02,62620,0262620
140,Port Clarence CDP,02,63170,0263170
302,Port Graham CDP,02,63280,0263280
40,Port Heiden city,02,63390,0263390
150,Port Lions city,02,63610,0263610
267,Port Protection CDP,02,63870,0263870
64,Portage Creek CDP,02,62285,0262285
303,Primrose CDP,02,64240,0264240
123,Prudhoe Bay CDP,02,64380,0264380
10,Quinhagak city,02,64600,0264600
246,Rampart CDP,02,64820,0264820
29,Red Devil CDP,02,64930,0264930
211,Red Dog Mine CDP,02,64980,0264980
304,Ridgeway CDP,02,65345,0265345
219,Ruby city,02,65590,0265590
113,Russian Mission city,02,65700,0265700
305,Salamatof CDP,02,66510,0266510
345,Salcha CDP,02,66550,0266550
99,Sand Point city,02,67020,0267020
129,Savoonga city,02,67460,0267460
198,Saxman city,02,67570,0267570
102,Scammon Bay city,02,67680,0267680
208,Selawik city,02,68230,0268230
306,Seldovia Village CDP,02,68370,0268370
278,Seldovia city,02,68340,0268340
276,Seward city,02,68560,0268560
227,Shageluk city,02,68670,0268670
130,Shaktoolik city,02,68890,0268890
138,Shishmaref city,02,69770,0269770
206,Shungnak city,02,70100,0270100
176,Silver Springs CDP,02,70320,0270320
212,Sitka city and borough,02,70540,0270540
187,Skagway CDP,02,70760,0270760
87,Skwentna CDP,02,70870,0270870
177,Slana CDP,02,70930,0270930
30,Sleetmute CDP,02,71090,0271090
277,Soldotna city,02,71640,0271640
88,South Lakes CDP,02,72135,0272135
55,South Naknek CDP,02,72190,0272190
346,South Van Horn CDP,02,72230,0272230
143,St. George city,02,65800,0265800
107,St. Mary's city,02,66140,0266140
128,St. Michael city,02,66360,0266360
145,St. Paul city,02,66470,0266470
134,Stebbins city,02,72960,0272960
347,Steele Creek CDP,02,72985,0272985
307,Sterling CDP,02,73070,0273070
247,Stevens Village CDP,02,73290,0273290
31,Stony River CDP,02,73400,0273400
308,Sunrise CDP,02,73950,0273950
89,Susitna CDP,02,74340,0274340
90,Susitna North CDP,02,74350,0274350
91,Sutton-Alpine CDP,02,74525,0274525
248,Takotna CDP,02,74610,0274610
92,Talkeetna CDP,02,74830,0274830
328,Tanacross CDP,02,75050,0275050
93,Tanaina CDP,02,75077,0275077
220,Tanana city,02,75160,0275160
186,Tatitlek CDP,02,75380,0275380
178,Tazlina CDP,02,75480,0275480
135,Teller city,02,75930,0275930
188,Tenakee Springs city,02,76260,0276260
329,Tetlin CDP,02,76590,0276590
257,Thorne Bay city,02,77140,0277140
59,Togiak city,02,77690,0277690
330,Tok CDP,02,77800,0277800
14,Toksook Bay city,02,78240,0278240
179,Tolsona CDP,02,78297,0278297
180,Tonsina CDP,02,78350,0278350
94,Trapper Creek CDP,02,78680,0278680
32,Tuluksak CDP,02,78790,0278790
33,Tuntutuliak CDP,02,79120,0279120
34,Tununak CDP,02,79230,0279230
65,Twin Hills CDP,02,79780,0279780
348,Two Rivers CDP,02,79830,0279830
309,Tyonek CDP,02,79890,0279890
52,Ugashik CDP,02,80100,0280100
133,Unalakleet city,02,80660,0280660
144,Unalaska city,02,80770,0280770
7,Upper Kalskag city,02,81320,0281320
117,Utqiagvik city,02,81920,0281920
183,Valdez city,02,82200,0282200
249,Venetie CDP,02,82420,0282420
116,Wainwright city,02,82750,0282750
136,Wales city,02,82860,0282860
66,Wasilla city,02,83080,0283080
260,Whale Pass city,02,84000,0284000
139,White Mountain city,02,84070,0284070
331,Whitestone CDP,02,84120,0284120
196,Whitestone Logging Camp CDP,02,84200,0284200
184,Whittier city,02,84510,0284510
95,Willow CDP,02,85280,0285280
181,Willow Creek CDP,02,85290,0285290
250,Wiseman CDP,02,85610,0285610
160,Womens Bay CDP,02,85680,0285680
271,Wrangell city and borough,02,86380,0286380
161,Yakutat CDP,02,86490,0286490
