intertie_id,year,generation_mwh,renewable_generation_mwh,ratio_renewable_generation
001-0000,2013,69.0,0.0,0.0
001-0000,2014,252.263,0.0,0.0
001-0000,2015,257.111,0.0,0.0
001-0000,2016,312.066,0.0,0.0
001-0000,2017,272.273,0.0,0.0
001-0000,2018,275.529,0.0,0.0
001-0000,2019,249.42,0.0,0.0
001-0000,2020,250.903,0.0,0.0
001-0000,2021,286.831,0.0,0.0
002-0000,2011,1851.534,0.0,0.0
002-0000,2012,1928.0,0.0,0.0
002-0000,2013,1873.0,0.0,0.0
002-0000,2014,1871.996,0.0,0.0
002-0000,2015,1951.908,0.0,0.0
002-0000,2016,1971.032,0.0,0.0
002-0000,2017,1945.101,0.0,0.0
002-0000,2018,1919.966,0.0,0.0
002-0000,2019,1733.814,0.0,0.0
002-0000,2020,1910.344,0.0,0.0
002-0000,2021,2003.701,0.0,0.0
003-0000,2011,1029.531,0.0,0.0
003-0000,2012,1182.0,0.0,0.0
003-0000,2013,1146.0,0.0,0.0
003-0000,2014,1204.634,0.0,0.0
003-0000,2015,1067.311,0.0,0.0
003-0000,2016,1133.561,0.0,0.0
003-0000,2017,1203.404,0.0,0.0
003-0000,2018,1202.145,0.0,0.0
003-0000,2019,929.501,0.0,0.0
003-0000,2020,997.522,0.0,0.0
003-0000,2021,224.694,0.0,0.0
004-0000,2011,531.6816,42.111,0.0792034179855011
004-0000,2012,685.0,365.0,0.5328467153284672
004-0000,2013,586.0,86.0,0.14675767918088736
004-0000,2014,661.252,0.0,0.0
004-0000,2015,287.314,2.142,0.007455258010399771
004-0000,2016,576.366,112.431,0.1950687583931044
004-0000,2017,560.755,114.539,0.20425854428404563
004-0000,2018,640.9970000000001,102.201,0.1594406838097526
004-0000,2019,642.184,0.002,3.1143722048509464e-06
004-0000,2020,471.358,28.072,0.05955558195681414
004-0000,2021,683.5419999999999,168.137,0.24597903274414742
005-0000,2011,655.368,0.0,0.0
005-0000,2012,690.0,0.0,0.0
005-0000,2013,697.0,0.0,0.0
005-0000,2014,634.584,0.0,0.0
005-0000,2015,596.952,0.0,0.0
005-0000,2016,589.679,0.0,0.0
005-0000,2017,618.048,0.0,0.0
005-0000,2018,593.712,0.0,0.0
005-0000,2019,611.182,0.0,0.0
005-0000,2020,667.394,0.0,0.0
005-0000,2021,662.064,0.0,0.0
007-0000,2011,573.845,0.0,0.0
007-0000,2012,582.0,0.0,0.0
007-0000,2013,573.0,0.0,0.0
007-0000,2014,557.697,0.0,0.0
007-0000,2015,537.3,0.0,0.0
007-0000,2016,519.4,0.0,0.0
007-0000,2017,545.2,0.0,0.0
007-0000,2018,538.3,0.0,0.0
007-0000,2019,475.7,0.0,0.0
007-0000,2020,489.1,0.0,0.0
007-0000,2021,517.5,0.0,0.0
009-0000,2011,749.742,0.0,0.0
009-0000,2012,769.0,0.0,0.0
009-0000,2013,718.0,0.0,0.0
009-0000,2014,663.28,0.0,0.0
009-0000,2015,719.785,8.779,0.012196697624985238
009-0000,2016,768.751,23.951,0.031155731829942336
009-0000,2017,820.92,25.06,0.03052672611216684
009-0000,2018,843.063,24.343,0.02887447320069793
009-0000,2019,830.693,23.573,0.028377511306824543
009-0000,2020,875.467,26.427,0.03018617492149904
009-0000,2021,876.652,10.474,0.011947728403060735
011-0000,2011,83.3,0.0,0.0
011-0000,2012,77.0,0.0,0.0
011-0000,2013,34.0,0.0,0.0
011-0000,2014,26.304,0.0,0.0
011-0000,2015,6.863,0.0,0.0
011-0000,2017,54.22427,0.0,0.0
011-0000,2018,47.709,0.0,0.0
011-0000,2019,68.007,0.0,0.0
011-0000,2020,85.861,0.0,0.0
011-0000,2021,104.891,0.0,0.0
012-0000,2011,1286.0,0.0,0.0
012-0000,2012,1270.0,0.0,0.0
012-0000,2013,1236.0,0.0,0.0
012-0000,2014,1169.6,0.0,0.0
012-0000,2015,1156.8,0.0,0.0
012-0000,2016,1124.801,0.0,0.0
012-0000,2017,1159.999,0.0,0.0
012-0000,2018,1116.799,0.0,0.0
012-0000,2019,1041.601,0.0,0.0
012-0000,2020,1102.4,0.0,0.0
012-0000,2021,1096.0,0.0,0.0
014-1990,2011,25827.928,16759.928,0.6489071829532744
014-1990,2012,27560.0,16774.0,0.6086357039187228
014-1990,2013,28370.0,19284.0,0.6797321113852661
014-1990,2014,27195.0,19625.0,0.7216400073542931
014-1990,2015,28601.0,20862.0,0.7294150554176427
014-1990,2016,24871.0,19282.0,0.7752804471070724
014-1990,2017,27848.0,19189.0,0.6890620511347314
014-1990,2018,25459.0,18438.0,0.7242232609293374
014-1990,2019,25915.0,19778.0,0.7631873432375073
014-1990,2020,49735.497,33779.937000000005,0.679191704870266
014-1990,2021,54215.804000000004,37758.682,0.6964515734194405
015-2008,2011,10400.0,0.0,0.0
015-2008,2012,10151.0,0.0,0.0
015-2008,2013,9753.0,0.0,0.0
015-2008,2014,9012.12,0.0,0.0
015-2008,2015,9257.72,0.0,0.0
015-2008,2016,9366.719,0.0,0.0
015-2008,2017,9386.447,0.0,0.0
015-2008,2018,9383.041,0.0,0.0
015-2008,2019,9343.4,0.0,0.0
015-2008,2020,9987.44,0.0,0.0
015-2008,2021,10384.0,0.0,0.0
023-2015,2011,28903.491,23906.0,0.8270973219117372
023-2015,2012,28917.0,26111.0,0.9029636545976415
023-2015,2013,28741.0,25260.0,0.8788838245015831
023-2015,2014,28603.66,27020.0,0.9446343579807619
023-2015,2015,29124.62164,27059.0,0.9290764472228179
023-2015,2016,27207.938,26085.0,0.9587275595820602
023-2015,2017,28146.0,24983.0,0.8876216869182122
023-2015,2018,27580.0,22245.0,0.806562726613488
023-2015,2019,28567.0,24449.0,0.85584765638674
023-2015,2020,28699.0,27172.0,0.9467925711697271
023-2015,2021,30585.0,28933.0,0.9459865947359817
026-2011,2011,1387.566,0.0,0.0
026-2011,2012,1352.0,0.0,0.0
026-2011,2013,1320.0,0.0,0.0
026-2011,2014,1322.7440000000001,0.0,0.0
026-2011,2015,1350.54,0.0,0.0
026-2011,2016,1308.7259999999999,0.0,0.0
026-2011,2017,1411.332,0.0,0.0
026-2011,2018,1377.214,0.0,0.0
026-2011,2019,1396.263,0.0,0.0
026-2011,2020,1392.465,0.0,0.0
026-2011,2021,1424.009,0.0,0.0
032-1998,2011,27259.66,26979.66,0.9897284118730755
032-1998,2012,27603.0,27603.0,1.0
032-1998,2013,28110.0,27078.0,0.9632870864461046
032-1998,2014,25053.869,24782.42,0.989165385992878
032-1998,2015,25774.04,25470.54,0.9882245856683702
032-1998,2016,25446.623,25131.5,0.9876163135674231
032-1998,2017,27540.379,26478.54,0.9614442851349286
032-1998,2018,29932.556,28397.760000000002,0.9487248599818874
032-1998,2019,29603.068,28977.068,0.9788535431530272
032-1998,2020,25528.659,23974.515,0.9391215966338067
032-1998,2021,26915.656,24042.477,0.8932524995861145
034-1988,2011,41800.0,0.0,0.0
034-1988,2012,44177.0,0.0,0.0
034-1988,2013,42620.0,0.0,0.0
034-1988,2014,11382.4,0.0,0.0
034-1988,2015,42481.8,0.0,0.0
034-1988,2016,41975.0,0.0,0.0
034-1988,2017,42044.0,0.0,0.0
034-1988,2018,42027.027,212.732,0.0050617903569529195
034-1988,2019,43404.784,1121.743,0.02584376413438666
034-1988,2020,43743.675,1346.765,0.03078765101468955
034-1988,2021,42942.068,1340.568,0.03121805871109887
035-0000,2011,1277.774,0.0,0.0
035-0000,2012,1312.0,0.0,0.0
035-0000,2013,1257.0,0.0,0.0
035-0000,2014,1234.382,0.0,0.0
035-0000,2015,1492.79,0.0,0.0
035-0000,2016,1338.498,0.0,0.0
035-0000,2017,1302.225,0.0,0.0
035-0000,2018,1234.807,0.0,0.0
035-0000,2019,1176.0,0.0,0.0
035-0000,2020,1246.482,0.0,0.0
035-0000,2021,1330.93,0.0,0.0
036-0000,2011,405.42,0.0,0.0
036-0000,2012,417.0,0.0,0.0
036-0000,2013,419.0,0.0,0.0
036-0000,2014,410.482,0.0,0.0
036-0000,2015,430.561,0.0,0.0
036-0000,2016,425.774,0.0,0.0
036-0000,2017,402.087,0.0,0.0
036-0000,2018,406.776,0.0,0.0
036-0000,2019,413.962,0.0,0.0
036-0000,2020,398.054,0.0,0.0
036-0000,2021,400.1,0.0,0.0
039-0000,2011,1176.332,0.0,0.0
039-0000,2012,1185.0,0.0,0.0
039-0000,2013,1115.0,0.0,0.0
039-0000,2014,1101.112,0.0,0.0
039-0000,2015,1143.206,0.0,0.0
039-0000,2016,1179.566,0.0,0.0
039-0000,2017,1188.819,0.0,0.0
039-0000,2018,1199.979,0.0,0.0
039-0000,2019,1188.0,0.0,0.0
039-0000,2020,1292.448,0.0,0.0
039-0000,2021,1321.128,0.0,0.0
040-0000,2011,2398.896,741.629,0.3091542943087153
040-0000,2012,2589.0,822.0,0.3174971031286211
040-0000,2013,2515.0,803.0,0.3192842942345924
040-0000,2014,2510.521,829.138,0.3302653114632381
040-0000,2015,2576.254,922.659,0.3581397641692162
040-0000,2016,2545.96,734.708,0.28857798237207183
040-0000,2017,2606.569,599.473,0.22998547132264674
040-0000,2018,2511.974,736.898,0.2933541509585688
040-0000,2019,2481.569,730.81,0.29449513594020554
040-0000,2020,2564.319,739.255,0.2882851158533708
040-0000,2021,2637.307,842.517,0.31946110179816006
041-0000,2011,800.578,0.0,0.0
041-0000,2012,818.0,0.0,0.0
041-0000,2013,829.0,0.0,0.0
041-0000,2014,850.501,0.0,0.0
041-0000,2015,879.54,0.0,0.0
041-0000,2016,953.693,0.0,0.0
041-0000,2017,923.61,0.0,0.0
041-0000,2018,961.739,0.0,0.0
041-0000,2019,986.257,0.0,0.0
041-0000,2020,1060.417,0.0,0.0
041-0000,2021,1221.074,0.0,0.0
043-0000,2011,1159.445,0.0,0.0
043-0000,2012,1182.0,0.0,0.0
043-0000,2013,1190.0,0.0,0.0
043-0000,2014,1215.857,0.0,0.0
043-0000,2015,1263.825,0.0,0.0
043-0000,2016,1294.366,0.0,0.0
043-0000,2017,1284.955,0.0,0.0
043-0000,2018,1333.804,0.0,0.0
043-0000,2019,1293.673,0.0,0.0
043-0000,2020,1273.416,0.0,0.0
043-0000,2021,1371.323,0.0,0.0
045-0000,2011,3170.209,80.325,0.025337446206228045
045-0000,2012,3370.0,504.0,0.14955489614243322
045-0000,2013,3703.0,516.0,0.13934647583040777
045-0000,2014,3981.969,506.189,0.12712027642605958
045-0000,2015,3917.837,337.661,0.08618556616827092
045-0000,2016,4749.902,741.977,0.15620890704692433
045-0000,2017,5723.202,379.232,0.06626220776411526
045-0000,2018,5832.614,394.718,0.06767428806363665
045-0000,2019,5965.0,500.673,0.08393512154233027
045-0000,2020,5574.294999999999,513.132,0.09205325516500293
045-0000,2021,5918.986,563.277,0.09516444201760235
046-0000,2011,1883.085,387.204,0.20562215725790392
046-0000,2012,1918.0,453.0,0.23618352450469238
046-0000,2013,1936.0,482.0,0.24896694214876033
046-0000,2014,1984.361,422.778,0.21305498344303278
046-0000,2015,1951.509,535.705,0.2745080857941214
046-0000,2016,2007.7359999999999,684.108,0.34073603302426214
046-0000,2017,1985.2949999999998,570.108,0.2871653834820518
046-0000,2018,1981.4199999999998,475.56,0.2400096900202885
046-0000,2019,1996.1490000000001,269.921,0.13522086778091214
046-0000,2020,1969.19,329.483,0.16731904996470628
046-0000,2021,2249.557,36.669,0.016300542729079548
047-0000,2011,773.073,0.0,0.0
047-0000,2012,830.0,0.0,0.0
047-0000,2013,727.0,0.0,0.0
047-0000,2014,686.252,0.0,0.0
047-0000,2015,680.65,0.0,0.0
047-0000,2016,682.065,0.0,0.0
047-0000,2017,723.318,0.0,0.0
047-0000,2018,740.611,0.0,0.0
047-0000,2019,728.48,0.0,0.0
047-0000,2020,752.054,0.0,0.0
047-0000,2021,779.871,0.0,0.0
048-0000,2011,569.047,0.0,0.0
048-0000,2012,563.0,0.0,0.0
048-0000,2013,576.0,0.0,0.0
048-0000,2014,592.948,0.0,0.0
048-0000,2015,609.336,0.0,0.0
048-0000,2016,624.019,0.0,0.0
048-0000,2017,621.474,0.0,0.0
048-0000,2018,655.079,0.0,0.0
048-0000,2019,654.537,0.0,0.0
048-0000,2020,653.196,0.0,0.0
048-0000,2021,611.708,0.0,0.0
049-0000,2011,594.372,0.0,0.0
049-0000,2012,617.0,0.0,0.0
049-0000,2013,630.0,0.0,0.0
049-0000,2014,627.226,0.0,0.0
049-0000,2015,604.756,0.0,0.0
049-0000,2016,595.4,0.0,0.0
049-0000,2017,632.703,0.0,0.0
049-0000,2018,605.537,0.0,0.0
049-0000,2019,575.081,0.0,0.0
049-0000,2020,590.214,0.0,0.0
049-0000,2021,576.337,0.0,0.0
050-0000,2011,3254.564,543.096,0.1668721217342784
050-0000,2012,3377.0,637.0,0.1886289606159313
050-0000,2013,3248.0,563.0,0.17333743842364532
050-0000,2014,3227.606,375.806,0.11643490562354883
050-0000,2015,3289.873,499.906,0.15195297812407957
050-0000,2016,3427.295,544.41,0.1588453868137992
050-0000,2017,3466.732,465.922,0.1343980440368624
050-0000,2018,3415.6760000000004,568.537,0.1664493353585059
050-0000,2019,3425.782,288.81,0.08430483901193946
050-0000,2020,3554.422,277.909,0.0781868331897563
050-0000,2021,3659.4,346.953,0.0948114444990982
051-0000,2011,1005.8,0.0,0.0
051-0000,2012,1033.0,0.0,0.0
051-0000,2013,977.0,0.0,0.0
051-0000,2014,955.386,0.0,0.0
051-0000,2015,1021.094,0.0,0.0
051-0000,2016,1032.859,0.0,0.0
051-0000,2017,1084.699,0.0,0.0
051-0000,2018,1131.645,0.0,0.0
051-0000,2019,1028.383,0.0,0.0
051-0000,2020,1037.808,0.0,0.0
051-0000,2021,1106.171,0.0,0.0
052-2005,2011,1472.206,0.0,0.0
052-2005,2012,1411.0,0.0,0.0
052-2005,2013,1327.0,0.0,0.0
052-2005,2014,1324.101,0.0,0.0
052-2005,2015,1393.635,0.0,0.0
052-2005,2016,1481.98,0.0,0.0
052-2005,2017,1554.656,0.0,0.0
052-2005,2018,1570.604,0.0,0.0
052-2005,2019,1535.661,0.0,0.0
052-2005,2020,1587.179,0.0,0.0
052-2005,2021,1545.265,0.0,0.0
054-0000,2011,727.038,0.0,0.0
054-0000,2012,753.0,0.0,0.0
054-0000,2013,717.0,0.0,0.0
054-0000,2014,708.712,8.649,0.012203828917811466
054-0000,2015,640.414,8.173,0.012762057044349438
054-0000,2016,599.8240000000001,7.316,0.012196911093920881
054-0000,2017,698.923,7.556,0.010810919085507274
054-0000,2018,710.627,0.044,6.191715203615962e-05
054-0000,2019,625.436,0.08,0.00012791076944723362
054-0000,2020,657.693,7.251,0.01102490067554315
054-0000,2021,677.2919999999999,6.636,0.00979784199429493
055-0000,2011,2783.27,496.85,0.17851304400938464
055-0000,2012,3009.0,517.0,0.17181787969425058
055-0000,2013,2973.0,562.0,0.18903464513958965
055-0000,2014,3098.297,390.042,0.1258891578179884
055-0000,2015,3128.003,378.784,0.12109451301677139
055-0000,2016,3073.884,579.794,0.18861934933133456
055-0000,2017,3078.249,379.604,0.12331815912228024
055-0000,2018,2992.741,397.908,0.1329577133470621
055-0000,2019,2974.777,276.88,0.09307588434359954
055-0000,2020,3077.748,396.545,0.1288425823036844
055-0000,2021,2789.394,322.363,0.1155673956422076
057-0000,2011,1511.732,0.0,0.0
057-0000,2012,1500.0,0.0,0.0
057-0000,2013,1525.0,0.0,0.0
057-0000,2014,1554.2,0.0,0.0
057-0000,2015,1617.644,0.0,0.0
057-0000,2016,1578.772,0.0,0.0
057-0000,2017,1615.844,0.0,0.0
057-0000,2018,1668.503,0.0,0.0
057-0000,2019,1667.736,0.0,0.0
057-0000,2020,1662.203,0.0,0.0
057-0000,2021,1715.15,0.0,0.0
058-0000,2011,1212.085,0.0,0.0
058-0000,2012,1208.0,0.0,0.0
058-0000,2013,1267.0,0.0,0.0
058-0000,2014,1220.661,0.0,0.0
058-0000,2015,1214.445,0.0,0.0
058-0000,2016,1322.266,0.0,0.0
058-0000,2017,1326.219,0.0,0.0
058-0000,2018,1295.253,0.0,0.0
058-0000,2019,1678.719,0.0,0.0
058-0000,2020,1830.596,0.0,0.0
058-0000,2021,1873.521,0.0,0.0
059-0000,2011,1966.457,0.0,0.0
059-0000,2012,2034.0,0.0,0.0
059-0000,2013,1966.0,0.0,0.0
059-0000,2014,1966.084,0.0,0.0
059-0000,2015,2010.883,0.0,0.0
059-0000,2016,1972.116,0.0,0.0
059-0000,2017,1942.266,0.0,0.0
059-0000,2018,1968.763,0.0,0.0
059-0000,2019,2010.362,0.0,0.0
059-0000,2020,2063.624,0.0,0.0
059-0000,2021,2178.55,0.0,0.0
060-0000,2011,1315.918,0.0,0.0
060-0000,2012,1324.0,0.0,0.0
060-0000,2013,1302.0,0.0,0.0
060-0000,2014,1260.36,0.0,0.0
060-0000,2015,1252.986,0.0,0.0
060-0000,2016,1303.487,0.0,0.0
060-0000,2017,1321.193,0.0,0.0
060-0000,2018,1307.009,0.0,0.0
060-0000,2019,1267.364,0.0,0.0
060-0000,2020,1263.899,0.0,0.0
060-0000,2021,1286.827,0.0,0.0
061-0000,2011,1644.176,0.0,0.0
061-0000,2012,1627.0,0.0,0.0
061-0000,2013,1585.0,0.0,0.0
061-0000,2014,1518.762,0.0,0.0
061-0000,2015,1506.366,0.0,0.0
061-0000,2016,1508.929,0.0,0.0
061-0000,2017,1471.29,0.0,0.0
061-0000,2018,1502.128,0.0,0.0
061-0000,2019,1422.0,0.0,0.0
061-0000,2020,1491.798,0.0,0.0
061-0000,2021,1564.778,0.0,0.0
062-0000,2011,947.537,238.706,0.25192261621445916
062-0000,2012,959.0,184.0,0.19186652763295098
062-0000,2013,915.0,233.0,0.2546448087431694
062-0000,2014,984.579,231.822,0.23545291947116484
062-0000,2015,952.971,199.021,0.20884266152904965
062-0000,2016,945.2170000000001,117.868,0.12469940764924878
062-0000,2017,932.361,145.271,0.1558098204450851
062-0000,2018,909.696,135.193,0.14861338293232026
062-0000,2019,860.77,60.649,0.07045900763270095
062-0000,2020,897.087,33.954,0.037849171819455636
062-0000,2021,924.559,4.24,0.0045859701760515015
063-0000,2011,652.663,0.0,0.0
063-0000,2012,652.0,0.0,0.0
063-0000,2013,606.0,0.0,0.0
063-0000,2014,614.149,0.0,0.0
063-0000,2015,663.715,0.0,0.0
063-0000,2016,665.416,0.0,0.0
063-0000,2017,632.512,0.0,0.0
063-0000,2018,623.494,0.0,0.0
063-0000,2019,654.595,0.0,0.0
063-0000,2020,686.371,0.0,0.0
063-0000,2021,768.323,0.0,0.0
065-0000,2011,1466.378,0.0,0.0
065-0000,2012,1443.0,0.0,0.0
065-0000,2013,1390.0,0.0,0.0
065-0000,2014,1373.098,0.0,0.0
065-0000,2015,1384.652,0.0,0.0
065-0000,2016,1377.62,0.0,0.0
065-0000,2017,1724.326,0.0,0.0
065-0000,2018,1832.28,0.0,0.0
065-0000,2019,1825.185,0.0,0.0
065-0000,2020,1887.222,0.0,0.0
065-0000,2021,1921.708,0.0,0.0
066-0000,2011,1800.64,0.0,0.0
066-0000,2012,1864.0,0.0,0.0
066-0000,2013,1874.0,0.0,0.0
066-0000,2014,1791.85,0.0,0.0
066-0000,2015,1837.843,0.0,0.0
066-0000,2016,1852.883,0.0,0.0
066-0000,2017,1860.923,0.0,0.0
066-0000,2018,1941.352,0.0,0.0
066-0000,2019,1864.849,0.0,0.0
066-0000,2020,1870.753,0.0,0.0
066-0000,2021,1852.771,0.0,0.0
067-0000,2011,2001.474,0.0,0.0
067-0000,2012,2003.0,0.0,0.0
067-0000,2013,1925.0,0.0,0.0
067-0000,2014,1863.79,0.0,0.0
067-0000,2015,1976.306,0.0,0.0
067-0000,2016,1893.38,0.0,0.0
067-0000,2017,1948.724,15.576,0.00799292254829314
067-0000,2018,2012.354,11.499,0.005714203365809395
067-0000,2019,1981.654,8.577,0.00432820260247248
067-0000,2020,1969.09,12.355,0.006274471964206817
067-0000,2021,1975.663,12.542,0.006348248663866256
068-0000,2011,1110.214,0.0,0.0
068-0000,2012,1064.0,0.0,0.0
068-0000,2013,1038.0,0.0,0.0
068-0000,2014,1002.902,0.0,0.0
068-0000,2015,985.13,0.0,0.0
068-0000,2016,1046.427,0.0,0.0
068-0000,2017,1037.729,0.0,0.0
068-0000,2018,975.183,0.0,0.0
068-0000,2019,1000.495,0.0,0.0
068-0000,2020,1054.759,0.0,0.0
068-0000,2021,1070.917,0.0,0.0
069-0000,2011,788.019,0.0,0.0
069-0000,2012,853.0,0.0,0.0
069-0000,2013,831.0,0.0,0.0
069-0000,2014,850.111,0.0,0.0
069-0000,2015,835.282,0.0,0.0
069-0000,2016,869.528,0.0,0.0
069-0000,2017,862.4,0.0,0.0
069-0000,2018,809.976,0.0,0.0
069-0000,2019,759.839,0.0,0.0
069-0000,2020,800.502,0.0,0.0
069-0000,2021,808.805,0.0,0.0
070-0000,2011,1750.671,0.0,0.0
070-0000,2012,1814.0,0.0,0.0
070-0000,2013,1805.0,0.0,0.0
070-0000,2014,1721.899,0.0,0.0
070-0000,2015,1809.641,0.0,0.0
070-0000,2016,1974.124,0.0,0.0
070-0000,2017,2018.359,0.0,0.0
070-0000,2018,1824.956,0.0,0.0
070-0000,2019,1802.533,0.0,0.0
070-0000,2020,1824.236,0.0,0.0
070-0000,2021,1876.637,0.0,0.0
071-0000,2011,1824.405,409.24,0.22431422847448895
071-0000,2012,1917.0,536.0,0.279603547209181
071-0000,2013,2021.0,568.0,0.281048985650668
071-0000,2014,2130.527,425.341,0.19964121553024206
071-0000,2015,2239.309,485.175,0.21666281875346366
071-0000,2016,2220.253,694.313,0.3127179650247066
071-0000,2017,2280.578,538.548,0.23614539822799308
071-0000,2018,2159.919,551.549,0.2553563351218263
071-0000,2019,2192.4759999999997,628.001,0.2864346063537298
071-0000,2020,2274.859,371.809,0.16344265732513533
071-0000,2021,2340.753,561.295,0.23979249412475384
072-0000,2011,1123.786,0.0,0.0
072-0000,2012,1034.0,0.0,0.0
072-0000,2013,1019.0,0.0,0.0
072-0000,2014,1039.636,0.0,0.0
072-0000,2015,997.381,0.0,0.0
072-0000,2016,1023.124,0.0,0.0
072-0000,2017,994.656,0.0,0.0
072-0000,2018,1010.729,0.0,0.0
072-0000,2019,970.412,0.0,0.0
072-0000,2020,945.36,0.0,0.0
072-0000,2021,951.299,0.0,0.0
075-2020,2011,5969.3,0.0,0.0
075-2020,2012,6124.0,0.0,0.0
075-2020,2013,6069.0,0.0,0.0
075-2020,2014,5852.8060000000005,0.0,0.0
075-2020,2015,5955.323,0.0,0.0
075-2020,2016,5820.564,0.0,0.0
075-2020,2017,5795.889999999999,0.0,0.0
075-2020,2018,5844.812,0.0,0.0
075-2020,2019,4926.966,1112.314,0.2257604375593418
075-2020,2020,6430.665,1912.159,0.2973501185336198
075-2020,2021,4052.88,2060.478,0.5083984721975484
076-0000,2011,2113.5609999999997,359.924,0.1702926955976194
076-0000,2012,2146.0,242.0,0.11276794035414725
076-0000,2013,2156.0,353.0,0.1637291280148423
076-0000,2014,2190.312,268.771,0.12270900218781618
076-0000,2015,2179.374,258.538,0.11862947800606966
076-0000,2016,2338.771,180.963,0.07737525392610049
076-0000,2017,2319.428,110.783,0.04776306917050239
076-0000,2018,2244.541,125.398,0.055867992609624856
076-0000,2019,2309.051,80.989,0.03507458258825812
076-0000,2020,2377.476,57.261,0.024084785713925187
076-0000,2021,2527.635,54.958,0.021742854486506157
077-0000,2011,1735.552,0.0,0.0
077-0000,2012,1649.0,0.0,0.0
077-0000,2013,1674.0,0.0,0.0
077-0000,2014,1711.609,0.0,0.0
077-0000,2015,1671.054,0.0,0.0
077-0000,2016,1671.649,0.0,0.0
077-0000,2017,1688.073,0.0,0.0
077-0000,2018,1672.489,0.0,0.0
077-0000,2019,1643.411,0.0,0.0
077-0000,2020,1654.537,0.0,0.0
077-0000,2021,1710.611,0.0,0.0
078-0000,2011,2853.6620000000003,107.907,0.03781351820923431
078-0000,2012,3232.0,95.0,0.029393564356435642
078-0000,2013,2863.0,54.0,0.018861334264757248
078-0000,2014,2642.435,47.939,0.018141978894466657
078-0000,2015,2782.708,104.58,0.03758209628893869
078-0000,2016,2867.62,63.935,0.022295492429261897
078-0000,2017,2855.156,14.837,0.005196563690390297
078-0000,2018,2713.826,0.0,0.0
078-0000,2019,2558.41,0.0,0.0
078-0000,2020,2928.116,0.0,0.0
078-0000,2021,2859.981,0.0,0.0
079-0000,2011,369.015,0.0,0.0
079-0000,2012,359.0,0.0,0.0
079-0000,2013,376.0,0.0,0.0
079-0000,2014,380.435,0.0,0.0
079-0000,2015,386.457,0.0,0.0
079-0000,2016,399.0148889,0.0,0.0
079-0000,2017,422.726,0.0,0.0
079-0000,2018,403.281,0.0,0.0
079-0000,2019,414.287,0.0,0.0
079-0000,2020,426.422,0.0,0.0
079-0000,2021,434.028,0.0,0.0
080-0000,2011,903.921,0.082,9.071589220739423e-05
080-0000,2012,961.0,148.0,0.15400624349635797
080-0000,2013,1032.0,295.0,0.2858527131782946
080-0000,2014,1153.637,378.007,0.32766546149265324
080-0000,2015,1123.779,329.269,0.29300155991525023
080-0000,2016,1188.512,436.104,0.36693276971540884
080-0000,2017,1132.1660000000002,317.836,0.2807326840763633
080-0000,2018,1110.48,331.214,0.29826201282328363
080-0000,2019,1155.884,393.317,0.3402737644953992
